,Date,Content
0,2023-03-01 20:56:02+00:00,"@DavidJBrown19 @wilnerhotline He said it could be a combination of Amazon, apple, ESPN &amp; even a potential 4th mystery media partner. Regardless, bringing us in at a reduced share is the easiest way to get the other 10-members more $$ per year. It’s common practice"
1,2023-03-01 20:53:29+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/6YPmRYPZeB"
2,2023-03-01 20:52:14+00:00,"@ursademort I don't think there's a blue ray...sadly. But, I think Apple TV and Amazon have the series to stream."
3,2023-03-01 20:47:36+00:00,"We want to save our earth and humanity here.  The lifestyle of the world will change and my company's project will grow fastest in the world like Apple, Microsoft, Amazon, Google, Facbk, Tesla, Reliance, Tata, Mahindra and no one in the world has started such a project.Only once https://t.co/gwQBbSJW0D"
4,2023-03-01 20:46:13+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/oY9fZosrhl"
5,2023-03-01 20:45:40+00:00,@NaheedD it’s the free market.  Are we going to tell oil companies how much they can make or Apple or Amazon.  The thing we should be pushing for is better wages for companies like these
6,2023-03-01 20:44:03+00:00,"A SOUNDCAST SAMPLER! Epi343 &amp; @RevT23 serve up a Valentine's Day treat of 3 soundcast clips from Life is Short with Justin Long, CineNation and High Low with Emrata! https://t.co/BuKMYSXzqr, Apple &amp; Google Podcasts, Amazon Music, Audible, iHeartRadio, Spotify &amp; more! https://t.co/RfU6iGMTPf"
7,2023-03-01 20:43:58+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/OpLtvbPaFE"
8,2023-03-01 20:41:02+00:00,"Available for Pre-Order on iTunes NOW! 

iTunes Pre-Order link: https://t.co/aCiMNtmyM5

Coming to Google Play, Amazon, YouTube, Xbox, and Microsoft on March 7th, 2023! 

#thekiller #thekillerVOD #janghyuk #apple #iTunes #googleplay #amazon #youtube #xbox #microsoft #preorder https://t.co/PFtQNnbXIr"
9,2023-03-01 20:40:48+00:00,"@CriddleBenjamin lol at the Pac 12.
Have you listened to Ourand and Marchand?
Amazon doesn't want tonnage.
ESPN can take or leave that content because they are being a lot more choosy (under orders from Disney).
Meanwhile, Apple is notoriously standoffish.
Kliavkoff is fooked. 
It'll be streaming https://t.co/Yav0Dzl4WV"
10,2023-03-01 20:40:01+00:00,"My #HVAC #books on Apple Books  https://t.co/20arLSAee1
also found on Amazon and google books
Please share 1 https://t.co/I8v6SkdHSc"
11,2023-03-01 20:38:59+00:00,"We are excited to reveal the sizzling cover for MEANT FOR ME by @Author_ClaudiaB coming May 16! 
 
#PreOrderHere
Amazon ➺ https://t.co/MVEXsdkzCk
Apple Books ➺ https://t.co/9ARPpcildT
Nook ➺ https://t.co/0rjDDSmzrf
Kobo ➺ https://t.co/aSIGlxZpet https://t.co/DM1kDmglEG"
12,2023-03-01 20:37:58+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/ipiXa5CPjc"
13,2023-03-01 20:37:53+00:00,@Nouman_one @ShibaInuWarri0r @LucieSHIB @BlackRock @Vanguard_Group @StateStreetGA @Fidelity @CapitalGroup @Apple @Microsoft @Google @amazon @Tesla This is a story about 1.3 million fools and a smart man. 😂
14,2023-03-01 20:36:19+00:00,Amazon &amp; Apple with all these charges on these random days gahhh damnnnn 🙄
15,2023-03-01 20:33:43+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/16APJAj9mA"
16,2023-03-01 20:32:09+00:00,"Are you seeing a rise in job #recruitmentscams? Our latest 2023 ""Off The Cuff"" #podcast covers this concern plaguing both job seekers &amp; employers alike.
Listen via Spotify: https://t.co/ioOgRVwCN6 
Or tune in via: Apple: https://t.co/3cEH8WbuHc Amazon: https://t.co/GrpnGPuyrZ https://t.co/ZlPP2sSr04"
17,2023-03-01 20:31:31+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/inLjA9DeRU"
18,2023-03-01 20:30:58+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/dH5tVuZTeg"
19,2023-03-01 20:24:45+00:00,"Top 10 streaming services:
1. Netflix
2. Apple TV+
3. Amazon Prime Video
4. SkyShowtime
5. Paramount+
6. Peacock
7. Hulu
8. Tubi
9. HBO Max
10. Disney+

Honorary mention:
Pluto TV"
20,2023-03-01 20:23:28+00:00,@PatrioticPizzas It's not Los Angeles it's a bunch of black people gang robbing an Amazon truck. Same black people robbing Apple stores and clothing stores. If this were white people they would be called racist. Speak the truth done be afraid to say what is real. They are the privileged blacks!
21,2023-03-01 20:19:23+00:00,"@GamexScientist @Dexerto Microsoft, apple and Amazon have been hand feeding your info to the US government for decades, with access to even more information because of regional access"
22,2023-03-01 20:17:03+00:00,"@DavidPoland A little easier to navigate Apple's content since they have so little.
Trying to find out what new movies have been added to Amazon, Hulu, etc. each month is pretty daunting unless you have a ""What's New On..."" guide.
Or a s**tload of free time to mindlessly scroll."
23,2023-03-01 20:14:28+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music
https://t.co/g3pQYvoNBX"
24,2023-03-01 20:14:04+00:00,"Taking submissions and spinning playlists across Apple, Deezer, Amazon, Tidal &amp; YouTube! Check this one out 

https://t.co/uRuAa6XwoG https://t.co/aRfVUMEyrz"
25,2023-03-01 20:09:58+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/b781A724NH"
26,2023-03-01 20:08:39+00:00,"Is Samsung about to make a similar tech mistake to Google, Amazon, and Apple?

Leadership Lessons in Category Failure around Health &amp; Fitness Tracking Wearables

#Fitness #Wearables #Samsung #Apple #Google #Amazon #CategoryDesign #Health #Wellness #Leadership #LegendaryLeadership https://t.co/i6h8hHmKFb"
27,2023-03-01 20:06:21+00:00,"Apple MagSafe Duo - Wireless Charger with Fast Charging Capability, Type C Wall Charger, Compatible with iPhone, AirPods and Watch https://t.co/khREtiaIyV via @amazon"
28,2023-03-01 20:03:59+00:00,"Enjoy my new track 
#distrokid #spotify #playlist #playlists 
#amazon #apple #itunes #music

https://t.co/efTLhDa1E1"
29,2023-03-01 20:03:19+00:00,Apple AirTag Leather Key Ring - Forest Green https://t.co/7hRnNybMSU via @amazon
30,2023-03-01 20:03:00+00:00,"You can stream the rest of this podcast on Spotify, Apple, Google, Amazon or wherever you find your podcasts! 🎧

https://t.co/oJXYavY8Uh"
31,2023-03-01 20:02:37+00:00,"RT @ReesBoxing89: The @BoxingNewsED pod on its way! 

@alexsteedman &amp; @MattCBoxingNews bring you everything you need to know from the world of boxing. 

Listen on Spotify, Apple and Amazon music every week! https://t.co/cVvtoO1K00"
32,2023-03-01 20:02:08+00:00,Apple AirTag Leather Key Ring - California Poppy https://t.co/fQpi8Z6JVx via @amazon
33,2023-03-01 20:01:32+00:00,@Dividend_Dollar Microsoft or Apple or Amazon.
